Species Name,Common Name,Habit,Soil,Sun,Cultivation Protocols ,Propagation Protocols ,Propagation Methods,Cultivation Requirements Subtotal,Germplasm Source,Conservation Status,Germplasm Origin,Provenance,"Additional Conservation
benefit",Conservation Subtotal,"Additional Local Benefits Description (i.e., to City of Melbourne)",Additional Local Benefits Subtotal,Total Score,Horticultural Potential ,Total Score Including Hort Potential,Weed Rating,Priority species
Eucryphia moorei,Eastern Leather-wood,Small Tree less than 10 metres,Free Draining,Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,14,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Low Risk,NO
Eupomatia laurina,Bolwarra,Large Shrub above 3 metres,Moderately Draining,Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,Good Story,1,20,5 - Highly ornamental - feature plants,25,Low Risk,YES
Grevillea confertifolia,Grampians Grevillea,Small Shrub less than 1 metre,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Grevillea dimorpha,Flame Grevillea,Small Shrub less than 1 metre to Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Genotyped Collection,13,N/A,0,20,5 - Highly ornamental - feature plants,25,Low Risk,YES
Grevillea jephcottii,Green Grevillea,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Genotyped Collection",14,N/A,1,22,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,25,Medium Risk,YES
Grevillea parvula,Genoa Grevillea,Medium Shrub 1 to 3 metres,Moderately Draining,Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Genotyped Collection",14,N/A,1,22,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,26,Low Risk,YES
Grevillea polybractea,Crimson Grevillea,Small Shrub less than 1 metre,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,12,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
Grevillea willisii,Rock Grevillea,Large Shrub above 3 metres,Moderately Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,20,5 - Highly ornamental - feature plants,25,Medium Risk,YES
Isopogon prostratus,Prostrate Cone-bush,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,3 - Not held in collection but easily obtained,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,17,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,20,Medium Risk,NO
Lepyrodia anarthria,Scael Rush,Grass or Grasslike,"Moderately Draining, Heavy",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,2 - Can be propagated - but requires significant time/effort,Seed/Division,6,3 - Not held in collection but easily obtained,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,11,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Low Risk,NO
Leucochrysum alpinum,Alpine Sunray,Herbaceous Perennial,Moderately Draining,Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
Livistona australis,Cabbage Fan-palm,Medium Tree 10 to 20 metres,Moderately Draining,Full Sun,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed,8,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,Good Story,1,21,5 - Highly ornamental - feature plants,26,Low Risk,YES
Lomandra oreophila,Mountain Mat-rush,Grass or Grasslike,Moderately Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,3 - Not held in collection but easily obtained,4 - Endangered,0 - Unsourced,0 - Native to Victoria,0,7,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",0,14,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,17,Medium Risk,NO
Myoporum floribundum,Slender Myoporum,Medium Shrub 1 to 3 metres,Moderately Draining,"Part Shade, Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,20,5 - Highly ornamental - feature plants,25,Medium Risk,YES
Olearia pannosa subsp. cardiophylla,Velvet Daisy-bush,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,5,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
Orthrosanthus multiflorus,Morning Flag,Grass or Grasslike,Moderately Draining,Part Shade,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed,8,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,21,5 - Highly ornamental - feature plants,26,Medium Risk,YES
Ozothamnus stirlingii,Ovens Everlasting,Medium Shrub 1 to 3 metres,Moderately Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Phebalium squamulosum subsp. squamulosum,Forest Phebalium,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,5 - Highly ornamental - feature plants,24,Low Risk,NO
Philotheca angustifolia subsp. montana,Narrow-leaf Wax-flower,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,15,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,18,Medium Risk,NO
Pomaderris aurea,Golden Pomaderris,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed/Cuttings,8,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,20,5 - Highly ornamental - feature plants,25,Low Risk,YES
Rytidosperma nivicola,Snow Wallaby-grass,Grass or Grasslike,"Moderately Draining, Heavy",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Low Risk,NO
Spyridium cinereum,Tiny Spyridium,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Low Risk,NO
Swainsona greyana,Hairy Darling-pea,Small Shrub less than 1 metre,"Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,21,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,25,Low Risk,YES
Tasmannia xerophila subsp. robusta,Errinundra Pepper,Large Shrub above 3 metres,Moderately Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Thomasia petalocalyx,Paper Flower,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
Veronica nivea,Milfoil Speedwell,Herbaceous Perennial,Moderately Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Zieria oreocena,Grampians Zieria,Medium Shrub 1 to 3 metres,Moderately Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Zieria smithii,Sandfly Zieria,Medium Shrub 1 to 3 metres,Moderately Draining,Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Pimelea axiflora subsp. alpina,Alpine Bootlace Bush,Small Shrub less than 1 metre,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,4 - Currently held limited propagation material,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,9,N/A,0,14,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,17,Medium Risk,NO
